refcalc,nmodes,{iter,R,f,size}*nmodes,L,b,Ys,c11,e31,eps33,hs,hp,ps,pp
1,3,38,121336.296875,-4.8176932401344032542,0.0078125,0.027074390108731756499,0.0048811978760087849222,76719927694.518081665,56681060657.827674866,-10.814911790050059537,1.3002770935107381995e-08,4.7772362270752136387e-05,0.00014394779039497850753,2616.7292007462724541,7840.1300563780259836
2,3,39,121599.75,-4.6540690086371796497,0.0078125,0.027845420726037316272,0.0046222653887803971662,72855001442.066864014,57197189539.250541687,-9.582811054542107243,1.4235336959019925269e-08,5.4799347980785816808e-05,0.00013758518347171377872,2955.5848018292267625,8271.5148972796814633
3,3,39,105126.921875,-4.8008932764718021957,0.0078125,0.027872267051074779004,0.0052281358757652971608,72234358462.148513794,58240803443.985435486,-9.5962862804887283374,1.4125039982746839103e-08,5.0589101633796986174e-05,0.00016063802711928170351,2713.3901259039485012,7319.2558473647832216
4,3,43,134970.5,-4.6502140389973192214,0.0078125,0.031808099861633076788,0.0050371948813727101049,71446177917.740386963,64432406703.910049438,-10.781021596557003761,1.2775382150022956382e-08,4.6696045613706132398e-05,0.00016381259062272151639,2754.5588590691604622,7773.8690352294916011
5,3,40,113100.921875,-4.7581706635551590523,0.0078125,0.030111408662568502764,0.0052419383785417012628,71927306728.869354248,57614460769.628387451,-11.294883814386503573,1.3951129338620755264e-08,4.5741272201175466831e-05,0.00016230502203447047895,2878.7174539401744369,7048.5202327480164968
6,3,40,118920.984375,-4.543699796293263482,0.0078125,0.0314797717484085679,0.005476336089883155657,73857955975.857543945,59855953018.812438965,-9.8803586705216943642,1.4335185437661215841e-08,4.7163910638617310696e-05,0.0001592724780339153923,2831.6349150899959568,8123.8407703576795029
7,3,38,100309.171875,-4.8098967153903311456,0.0078125,0.027187098884110850322,0.0050451183377509551536,66897354645.606758118,62640675154.580116272,-10.039043350088896034,1.4527765385954530226e-08,5.4372568148827450608e-05,0.00014988203131355439619,2927.8722356249913901,7809.3521948598099698
8,3,38,116857.125,-4.9346340204063814383,0.0078125,0.027068802525321393471,0.004940553731490183835,66923221640.253074646,62819408617.596801758,-10.739145074011359426,1.2529830834576780939e-08,4.8939173190826168978e-05,0.00015711533209407485784,2495.1402650424934109,7323.5571290359630439
9,3,43,118618.484375,-4.5731993497827190254,0.0078125,0.031707660868162131085,0.0053672587451838223854,65816963191.524597168,61734176824.257789612,-9.9288475561555689097,1.3170681690806840798e-08,4.9493458855195656201e-05,0.00014969626398975786744,2570.6520155261514446,7274.327082535869522
10,3,39,132010.859375,-4.8867753052121036816,0.0078125,0.028386378357832496577,0.004791649842770607029,73335256183.676071167,61115235518.764350891,-11.286353339630343484,1.2142090651454446969e-08,4.9710114684286586611e-05,0.00016090164683102707761,2732.8122598039044533,7584.1454894324506313
11,3,39,110958.890625,-4.7492905903845654692,0.0078125,0.029410079795126841534,0.0050722305321005307921,74669711500.252471924,63219303012.787971497,-9.8204337619153942995,1.3290959557304606211e-08,5.3923728032467758823e-05,0.0001534583911525357427,2556.2406996014715332,6995.1545310067731407
12,4,39,165081.046875,-4.4742175457348158929,0.0078125,0.032040931633227007214,0.0045183892175640859301,75323663364.315246582,55404676524.970993042,-10.563420704195005229,1.2378964547295573341e-08,4.9927510230302586604e-05,0.0001358374059390450811,2777.555629838051118,8142.4874635960386513
13,3,38,100473.578125,-4.7687360671031457926,0.0078125,0.028326166668593031478,0.0053746845963758803355,63628145850.556037903,66602976429.976043701,-10.158990670889146202,1.4552857270940606279e-08,4.5239560962766206661e-05,0.0001606542479738845737,2880.5690886874540411,7881.3152875547839358
14,3,40,137191.65625,-4.8084736230786893074,0.0078125,0.028488832131721465724,0.0047360671671275358235,65197301007.899131775,55896612017.134490967,-11.269392680297322329,1.2976311138265910916e-08,5.0782908473994073785e-05,0.00015931050158772176056,2966.5397680627834234,8233.7083771399720717
15,3,43,121589.015625,-4.6013445655489482178,0.0078125,0.031940117859719376059,0.0053337474348180676301,74626427942.712982178,63484098669.413520813,-11.180237875236308298,1.3058011246895423717e-08,5.3573607154457647821e-05,0.00014603596156976929115,2665.9477705582730778,7751.5224908834898088
